[16:48:02] Processing file resample_145.tab: 145/200 (72.5%) | Elapsed: 8s | ETA: 3s
[16:48:02] Processing file resample_146.tab: 146/200 (73.0%) | Elapsed: 8s | ETA: 3s
[16:48:02] Processing file resample_147.tab: 147/200 (73.5%) | Elapsed: 8s | ETA: 2s
[16:48:02] Processing file resample_148.tab: 148/200 (74.0%) | Elapsed: 8s | ETA: 2s
[16:48:02] Processing file resample_149.tab: 149/200 (74.5%) | Elapsed: 8s | ETA: 2s
[16:48:02] Processing file resample_150.tab: 150/200 (75.0%) | Elapsed: 8s | ETA: 2s
[16:48:02] Processing file resample_151.tab: 151/200 (75.5%) | Elapsed: 8s | ETA: 2s
[16:48:02] Processing file resample_152.tab: 152/200 (76.0%) | Elapsed: 8s | ETA: 2s
[16:48:03] Processing file resample_153.tab: 153/200 (76.5%) | Elapsed: 8s | ETA: 2s
[16:48:03] Processing file resample_154.tab: 154/200 (77.0%) | Elapsed: 8s | ETA: 2s
[16:48:03] Processing file resample_155.tab: 155/200 (77.5%) | Elapsed: 8s | ETA: 2s
[16:48:03] Processing file resample_156.tab: 156/200 (78.0%) | Elapsed: 8s | ETA: 2s
[16:48:03] Processing file resample_157.tab: 157/200 (78.5%) | Elapsed: 8s | ETA: 2s
[16:48:03] Processing file resample_158.tab: 158/200 (79.0%) | Elapsed: 9s | ETA: 2s
[16:48:03] Processing file resample_159.tab: 159/200 (79.5%) | Elapsed: 9s | ETA: 2s
[16:48:03] Processing file resample_160.tab: 160/200 (80.0%) | Elapsed: 9s | ETA: 2s
[16:48:03] Processing file resample_161.tab: 161/200 (80.5%) | Elapsed: 9s | ETA: 2s
[16:48:03] Processing file resample_162.tab: 162/200 (81.0%) | Elapsed: 9s | ETA: 2s
[16:48:03] Processing file resample_163.tab: 163/200 (81.5%) | Elapsed: 9s | ETA: 2s
[16:48:03] Processing file resample_164.tab: 164/200 (82.0%) | Elapsed: 9s | ETA: 2s
[16:48:03] Processing file resample_165.tab: 165/200 (82.5%) | Elapsed: 9s | ETA: 2s
[16:48:03] Processing file resample_166.tab: 166/200 (83.0%) | Elapsed: 9s | ETA: 1s
[16:48:03] Processing file resample_167.tab: 167/200 (83.5%) | Elapsed: 9s | ETA: 1s
[16:48:03] Processing file resample_168.tab: 168/200 (84.0%) | Elapsed: 9s | ETA: 1s
[16:48:04] Processing file resample_169.tab: 169/200 (84.5%) | Elapsed: 9s | ETA: 1s
[16:48:04] Processing file resample_170.tab: 170/200 (85.0%) | Elapsed: 9s | ETA: 1s
[16:48:04] Processing file resample_171.tab: 171/200 (85.5%) | Elapsed: 9s | ETA: 1s
[16:48:04] Processing file resample_172.tab: 172/200 (86.0%) | Elapsed: 9s | ETA: 1s
[16:48:04] Processing file resample_173.tab: 173/200 (86.5%) | Elapsed: 10s | ETA: 1s
[16:48:04] Processing file resample_174.tab: 174/200 (87.0%) | Elapsed: 10s | ETA: 1s
[16:48:04] Processing file resample_175.tab: 175/200 (87.5%) | Elapsed: 10s | ETA: 1s
[16:48:04] Processing file resample_176.tab: 176/200 (88.0%) | Elapsed: 10s | ETA: 1s
[16:48:04] Processing file resample_177.tab: 177/200 (88.5%) | Elapsed: 10s | ETA: 1s
[16:48:04] Processing file resample_178.tab: 178/200 (89.0%) | Elapsed: 10s | ETA: 1s
[16:48:04] Processing file resample_179.tab: 179/200 (89.5%) | Elapsed: 10s | ETA: 1s
[16:48:04] Processing file resample_180.tab: 180/200 (90.0%) | Elapsed: 10s | ETA: 1s
[16:48:04] Processing file resample_181.tab: 181/200 (90.5%) | Elapsed: 10s | ETA: 1s
[16:48:04] Processing file resample_182.tab: 182/200 (91.0%) | Elapsed: 10s | ETA: 1s
[16:48:04] Processing file resample_183.tab: 183/200 (91.5%) | Elapsed: 10s | ETA: 0s
[16:48:05] Processing file resample_184.tab: 184/200 (92.0%) | Elapsed: 10s | ETA: 0s
[16:48:05] Processing file resample_185.tab: 185/200 (92.5%) | Elapsed: 10s | ETA: 0s
[16:48:05] Processing file resample_186.tab: 186/200 (93.0%) | Elapsed: 10s | ETA: 0s
[16:48:05] Processing file resample_187.tab: 187/200 (93.5%) | Elapsed: 10s | ETA: 0s
[16:48:05] Processing file resample_188.tab: 188/200 (94.0%) | Elapsed: 11s | ETA: 0s
[16:48:05] Processing file resample_189.tab: 189/200 (94.5%) | Elapsed: 11s | ETA: 0s
[16:48:05] Processing file resample_190.tab: 190/200 (95.0%) | Elapsed: 11s | ETA: 0s
[16:48:05] Processing file resample_191.tab: 191/200 (95.5%) | Elapsed: 11s | ETA: 0s
[16:48:05] Processing file resample_192.tab: 192/200 (96.0%) | Elapsed: 11s | ETA: 0s
[16:48:05] Processing file resample_193.tab: 193/200 (96.5%) | Elapsed: 11s | ETA: 0s
[16:48:05] Processing file resample_194.tab: 194/200 (97.0%) | Elapsed: 11s | ETA: 0s
[16:48:05] Processing file resample_195.tab: 195/200 (97.5%) | Elapsed: 11s | ETA: 0s
[16:48:05] Processing file resample_196.tab: 196/200 (98.0%) | Elapsed: 11s | ETA: 0s
[16:48:05] Processing file resample_197.tab: 197/200 (98.5%) | Elapsed: 11s | ETA: 0s
[16:48:05] Processing file resample_198.tab: 198/200 (99.0%) | Elapsed: 11s | ETA: 0s
[16:48:06] Processing file resample_199.tab: 199/200 (99.5%) | Elapsed: 11s | ETA: 0s
[16:48:06] Processing file resample_200.tab: 200/200 (100.0%) | Elapsed: 11s | ETA: 0s
[17:16:54] Processing file resample_001.tab: 1/1000 (0.1%) | Elapsed: 0s | ETA: 3s
[17:16:54] Processing file resample_002.tab: 2/1000 (0.2%) | Elapsed: 0s | ETA: 1m 51s
[17:16:54] Processing file resample_003.tab: 3/1000 (0.3%) | Elapsed: 0s | ETA: 2m 9s
[17:16:54] Processing file resample_004.tab: 4/1000 (0.4%) | Elapsed: 0s | ETA: 2m 23s
[17:16:55] Processing file resample_005.tab: 5/1000 (0.5%) | Elapsed: 0s | ETA: 2m 28s
[17:16:55] Processing file resample_006.tab: 6/1000 (0.6%) | Elapsed: 0s | ETA: 2m 34s
[17:16:55] Processing file resample_007.tab: 7/1000 (0.7%) | Elapsed: 1s | ETA: 2m 35s
[17:16:55] Processing file resample_008.tab: 8/1000 (0.8%) | Elapsed: 1s | ETA: 2m 38s
[17:16:55] Processing file resample_009.tab: 9/1000 (0.9%) | Elapsed: 1s | ETA: 2m 38s
[17:16:55] Processing file resample_010.tab: 10/1000 (1.0%) | Elapsed: 1s | ETA: 2m 40s
[17:16:56] Processing file resample_011.tab: 11/1000 (1.1%) | Elapsed: 1s | ETA: 2m 40s
[17:16:56] Processing file resample_012.tab: 12/1000 (1.2%) | Elapsed: 1s | ETA: 2m 41s
[17:16:56] Processing file resample_013.tab: 13/1000 (1.3%) | Elapsed: 2s | ETA: 2m 43s
[17:16:56] Processing file resample_014.tab: 14/1000 (1.4%) | Elapsed: 2s | ETA: 2m 43s
[17:16:56] Processing file resample_015.tab: 15/1000 (1.5%) | Elapsed: 2s | ETA: 2m 43s
[17:16:56] Processing file resample_016.tab: 16/1000 (1.6%) | Elapsed: 2s | ETA: 2m 43s
[17:16:57] Processing file resample_017.tab: 17/1000 (1.7%) | Elapsed: 2s | ETA: 2m 44s
[17:16:57] Processing file resample_018.tab: 18/1000 (1.8%) | Elapsed: 3s | ETA: 2m 43s
[17:16:57] Processing file resample_019.tab: 19/1000 (1.9%) | Elapsed: 3s | ETA: 2m 44s
[17:16:57] Processing file resample_020.tab: 20/1000 (2.0%) | Elapsed: 3s | ETA: 2m 44s
[17:16:57] Processing file resample_021.tab: 21/1000 (2.1%) | Elapsed: 3s | ETA: 2m 48s
[17:16:58] Processing file resample_022.tab: 22/1000 (2.2%) | Elapsed: 3s | ETA: 2m 49s
[17:16:58] Processing file resample_023.tab: 23/1000 (2.3%) | Elapsed: 4s | ETA: 2m 50s
[17:16:58] Processing file resample_024.tab: 24/1000 (2.4%) | Elapsed: 4s | ETA: 2m 51s
[17:16:58] Processing file resample_025.tab: 25/1000 (2.5%) | Elapsed: 4s | ETA: 2m 51s
[17:16:58] Processing file resample_026.tab: 26/1000 (2.6%) | Elapsed: 4s | ETA: 2m 51s
[17:16:59] Processing file resample_027.tab: 27/1000 (2.7%) | Elapsed: 4s | ETA: 2m 50s
[17:16:59] Processing file resample_028.tab: 28/1000 (2.8%) | Elapsed: 4s | ETA: 2m 50s
[17:16:59] Processing file resample_029.tab: 29/1000 (2.9%) | Elapsed: 5s | ETA: 2m 50s
[17:16:59] Processing file resample_030.tab: 30/1000 (3.0%) | Elapsed: 5s | ETA: 2m 50s
[17:16:59] Processing file resample_031.tab: 31/1000 (3.1%) | Elapsed: 5s | ETA: 2m 50s
[17:16:59] Processing file resample_032.tab: 32/1000 (3.2%) | Elapsed: 5s | ETA: 2m 50s
[17:17:00] Processing file resample_033.tab: 33/1000 (3.3%) | Elapsed: 5s | ETA: 2m 49s
[17:17:00] Processing file resample_034.tab: 34/1000 (3.4%) | Elapsed: 5s | ETA: 2m 49s
[17:17:00] Processing file resample_035.tab: 35/1000 (3.5%) | Elapsed: 6s | ETA: 2m 50s
[17:17:00] Processing file resample_036.tab: 36/1000 (3.6%) | Elapsed: 6s | ETA: 2m 49s
[17:17:00] Processing file resample_037.tab: 37/1000 (3.7%) | Elapsed: 6s | ETA: 2m 49s
[17:17:01] Processing file resample_038.tab: 38/1000 (3.8%) | Elapsed: 6s | ETA: 2m 49s
[17:17:01] Processing file resample_039.tab: 39/1000 (3.9%) | Elapsed: 6s | ETA: 2m 49s
[17:17:01] Processing file resample_040.tab: 40/1000 (4.0%) | Elapsed: 7s | ETA: 2m 49s
[17:17:01] Processing file resample_041.tab: 41/1000 (4.1%) | Elapsed: 7s | ETA: 2m 49s
[17:17:01] Processing file resample_042.tab: 42/1000 (4.2%) | Elapsed: 7s | ETA: 2m 48s
[17:17:01] Processing file resample_043.tab: 43/1000 (4.3%) | Elapsed: 7s | ETA: 2m 49s
[17:17:02] Processing file resample_044.tab: 44/1000 (4.4%) | Elapsed: 7s | ETA: 2m 49s
[17:17:02] Processing file resample_045.tab: 45/1000 (4.5%) | Elapsed: 7s | ETA: 2m 49s
[17:17:02] Processing file resample_046.tab: 46/1000 (4.6%) | Elapsed: 8s | ETA: 2m 49s
[17:17:02] Processing file resample_047.tab: 47/1000 (4.7%) | Elapsed: 8s | ETA: 2m 49s
[17:17:02] Processing file resample_048.tab: 48/1000 (4.8%) | Elapsed: 8s | ETA: 2m 49s
[17:17:03] Processing file resample_049.tab: 49/1000 (4.9%) | Elapsed: 8s | ETA: 2m 48s
[17:17:03] Processing file resample_050.tab: 50/1000 (5.0%) | Elapsed: 8s | ETA: 2m 48s
[17:17:03] Processing file resample_051.tab: 51/1000 (5.1%) | Elapsed: 9s | ETA: 2m 48s
[17:17:03] Processing file resample_052.tab: 52/1000 (5.2%) | Elapsed: 9s | ETA: 2m 48s
[17:17:03] Processing file resample_053.tab: 53/1000 (5.3%) | Elapsed: 9s | ETA: 2m 47s
[17:17:03] Processing file resample_054.tab: 54/1000 (5.4%) | Elapsed: 9s | ETA: 2m 47s
[17:17:04] Processing file resample_055.tab: 55/1000 (5.5%) | Elapsed: 9s | ETA: 2m 47s
[17:17:04] Processing file resample_056.tab: 56/1000 (5.6%) | Elapsed: 9s | ETA: 2m 47s
[17:17:04] Processing file resample_057.tab: 57/1000 (5.7%) | Elapsed: 10s | ETA: 2m 48s
[17:17:04] Processing file resample_058.tab: 58/1000 (5.8%) | Elapsed: 10s | ETA: 2m 48s
[17:17:04] Processing file resample_059.tab: 59/1000 (5.9%) | Elapsed: 10s | ETA: 2m 48s
[17:17:05] Processing file resample_060.tab: 60/1000 (6.0%) | Elapsed: 10s | ETA: 2m 48s
